"Data provided by SimFin","","","","","","","","","","",""
"","","","","","","","","","","",""
"Profit & Loss statement","","","","","","","","","","",""
"","in million USD","FY '10","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19"
"","Revenue","65,225","108,249","156,508","170,910","182,795","233,715","215,639","229,234","265,595","260,174"
"","Cost of revenue","-39,541","-64,431","-87,846","-106,606","-112,258","-140,089","-131,376","-141,048","-163,756","-161,782"
"","Gross Profit","25,684","43,818","68,662","64,304","70,537","93,626","84,263","88,186","101,839","98,392"
"","Operating Expenses","-7,299","-10,028","-13,421","-15,305","-18,034","-22,396","-24,239","-26,842","-30,941","-34,462"
"","Operating Income (Loss)","18,385","33,790","55,241","48,999","52,503","71,230","60,024","61,344","70,898","63,930"
"","Non-Operating Income (Loss)","155","415","522","1,156","980","1,285","1,348","2,745","2,005","1,807"
"","Pretax Income (Loss)","18,540","34,205","55,763","50,155","53,483","72,515","61,372","64,089","72,903","65,737"
"","Income Tax (Expense) Benefit, net","-4,527","-8,283","-14,030","-13,118","-13,973","-19,121","-15,685","-15,738","-13,372","-10,481"
"","Net Income Available to Common Shareholders","14,013","25,922","41,733","37,037","39,510","53,394","45,687","48,351","59,531","55,256"
"","","","","","","","","","","",""
"Balance Sheet","","","","","","","","","","",""
"","in million USD","FY '10","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19"
"","Assets","","","","","","","","","",""
"","Cash, Cash Equivalents & Short Term Investments","25,620","25,952","29,129","40,546","25,077","41,601","67,155","74,181","66,301","100,557"
"","Accounts & Notes Receivable","5,510","5,369","10,930","13,102","17,460","16,849","15,754","17,874","23,186","22,926"
"","Inventories","1,051","776","791","1,764","2,111","2,349","2,132","4,855","3,956","4,106"
"","Other Short Term Assets","9,497","12,891","16,803","17,874","23,883","28,579","21,828","31,735","37,896","35,230"
"","Total Current Assets","41,678","44,988","57,653","73,286","68,531","89,378","106,869","128,645","131,339","162,819"
"","Property, Plant & Equipment, Net","4,768","7,777","15,452","16,597","20,624","22,471","27,010","33,783","41,304","37,378"
"","Long Term Investments & Receivables","25,391","55,618","92,122","106,215","130,162","164,065","170,430","194,714","170,799","105,341"
"","Other Long Term Assets","3,346","7,988","10,837","10,902","12,522","14,431","17,377","18,177","22,283","32,978"
"","Total Noncurrent Assets","33,505","71,383","118,411","133,714","163,308","200,967","214,817","246,674","234,386","175,697"
"","Total Assets","75,183","116,371","176,064","207,000","231,839","290,345","321,686","375,319","365,725","338,516"
"","Liabilities","","","","","","","","","",""
"","Payables & Accruals","17,738","23,879","32,589","36,223","48,649","60,671","59,321","44,242","55,888","46,236"
"","Short Term Debt","","","","0","6,308","10,999","11,605","18,473","20,748","16,240"
"","Other Short Term Liabilities","2,984","4,091","5,953","7,435","8,491","8,940","8,080","38,099","39,293","43,242"
"","Total Current Liabilities","20,722","27,970","38,542","43,658","63,448","80,610","79,006","100,814","115,929","105,718"
"","Long Term Debt","","","0","16,960","28,987","53,329","75,427","97,207","93,735","91,807"
"","Other Long Term Liabilities","6,670","11,786","19,312","22,833","27,857","37,051","39,004","43,251","48,914","50,503"
"","Total Noncurrent Liabilities","6,670","11,786","19,312","39,793","56,844","90,380","114,431","140,458","142,649","142,310"
"","Total Liabilities","27,392","39,756","57,854","83,451","120,292","170,990","193,437","241,272","258,578","248,028"
"","Share Capital & Additional Paid-In Capital","10,668","13,331","16,422","19,764","23,313","27,416","31,251","35,867","40,201","45,174"
"","Retained Earnings","37,169","62,841","101,289","104,256","87,152","92,284","96,364","98,330","70,400","45,898"
"","Other Equity","-46","443","499","-471","1,082","-345","634","-150","-3,454","-584"
"","Equity Before Minority Interest","47,791","76,615","118,210","123,549","111,547","119,355","128,249","134,047","107,147","90,488"
"","Total Equity","47,791","76,615","118,210","123,549","111,547","119,355","128,249","134,047","107,147","90,488"
"","Total Liabilities & Equity","75,183","116,371","176,064","207,000","231,839","290,345","321,686","375,319","365,725","338,516"
"","","","","","","","","","","",""
"Cash Flow statement","","","","","","","","","","",""
"","in million USD","FY '10","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19"
"","Net Income/Starting Line","14,013","25,922","41,733","37,037","39,510","53,394","45,687","48,351","59,531","55,256"
"","Depreciation & Amortization","1,027","1,814","3,277","6,757","7,946","11,257","10,505","10,157","10,903","12,547"
"","Non-Cash Items","2,319","4,036","6,145","3,394","5,210","5,353","9,634","10,640","-27,694","5,076"
"","Change in Working Capital","1,236","5,757","-299","6,478","7,047","11,262","405","-4,923","34,694","-3,488"
"","Cash from Operating Activities","18,595","37,529","50,856","53,666","59,713","81,266","66,231","64,225","77,434","69,391"
"","Change in Fixed Assets & Intangibles","-2,121","-7,452","-9,402","-9,076","-9,813","-11,488","-12,734","-12,451","-13,313","-10,495"
"","Net Change in Long Term Investment","-11,075","-32,464","-38,427","-24,042","-9,027","-44,417","-32,022","-33,668","30,492","56,459"
"","Net Cash From Acquisitions & Divestitures","-638","-244","-350","-496","-3,765","-343","-297","-329","-721","-624"
"","Other Investing Activities","-20","-259","-48","-160","26","-26","-924","2","-392","556"
"","Cash from Investing Activities","-13,854","-40,419","-48,227","-33,774","-22,579","-56,274","-45,977","-46,446","16,066","45,896"
"","Dividends Paid","0","0","-2,488","-10,564","-11,126","-11,561","-12,150","-12,769","-13,712","-14,119"
"","Cash From (Repayment of) Debt","","0","0","16,896","18,266","29,305","22,057","29,014","432","-7,819"
"","Cash From (Repurchase of) Equity","912","831","665","-22,330","-44,270","-34,710","-29,227","-32,345","-72,069","-66,116"
"","Other Financing Activities","345","613","125","-381","-419","-750","-1,570","-1,874","-2,527","-2,922"
"","Cash from Financing Activities","1,257","1,444","-1,698","-16,379","-37,549","-17,716","-20,890","-17,974","-87,876","-90,976"
"","Net Changes in Cash","5,998","-1,446","931","3,513","-415","7,276","-636","-195","5,624","24,311"
